NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 11,1001,property,-77.08438586,2019-09-28T12:40:07.000,theft f/auto,day,142269,2,3,2019,property|theft f/auto,,2D1,202,7,001001 2,precinct 31,392685,4300 - 4316 block of murdock mill road nw,2019-09-28T12:00:42.000,19173054,theft f/auto,19173054-01,3E,2019-09-28T17:59:12.000Z,others,"38.948295242395851,-77.084388177649004",38.94828745
cluster 11,1100,property,-77.08031581,2019-09-18T20:46:41.000,theft/other,evening,142481,2,3,2019,property|theft/other,,2D1,202,6,001100 4,precinct 32,393038,4600 - 4699 block of 41st street nw,2019-09-18T20:30:02.000,19166748,theft/other,19166748-01,3E,2019-09-19T1:53:24.000Z,others,"38.950207865190144,-77.080318121125174",38.95020007
cluster 11,1001,property,-77.0803032,2019-04-25T21:20:41.000,theft/other,evening,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-04-25T21:14:08.000,19070701,theft/other,19070701-01,3E,2019-04-26T2:30:53.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1001,property,-77.0803032,2019-04-11T08:46:52.000,theft/other,day,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-04-11T07:59:51.000,19061173,theft/other,19061173-01,3E,2019-04-11T12:46:43.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1100,property,-77.0795769,,theft f/auto,day,142423,2,3,2019,property|theft f/auto,,2D1,202,7,001100 4,precinct 32,393102,4000 - 4099 block of brandywine street nw,2019-05-13T09:52:11.000,19082024,theft f/auto,19082024-01,3E,2019-05-13T14:58:04.000Z,others,"38.949685890292486,-77.07957921395662",38.9496781
cluster 11,1001,property,-77.0803032,2019-04-08T14:36:55.000,theft/other,day,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-04-08T13:58:53.000,19059249,theft/other,19059249-01,3E,2019-04-08T18:42:37.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1100,property,-77.07851457,2019-03-19T18:20:08.000,theft/other,evening,142322,2,3,2019,property|theft/other,,2D1,202,6,001100 4,precinct 32,393194,4500 - 4599 block of fort drive nw,2019-03-19T17:20:48.000,19046598,theft/other,19046598-01,3E,2019-03-20T1:39:42.000Z,others,"38.948776772258078,-77.078516878977283",38.94876898
cluster 11,1001,property,-77.08500641,2019-04-09T07:15:31.000,theft/other,day,142046,2,3,2019,property|theft/other,,2D1,202,6,001001 4,precinct 30,392631,4300 - 4399 block of yuma street nw,2019-04-09T07:10:28.000,19059733,theft/other,19059733-01,3E,2019-04-09T15:05:56.000Z,others,"38.946285945273274,-77.085008726046269",38.94627815
cluster 11,1001,property,-77.08140117,2019-02-15T17:15:46.000,theft f/auto,evening,142573,2,3,2019,property|theft f/auto,,2D1,202,7,001001 2,precinct 31,392944,4100 - 4199 block of chesapeake street nw,2019-02-15T15:30:28.000,19027274,theft f/auto,19027274-01,3E,2019-02-15T22:33:20.000Z,others,"38.951035876102964,-77.08140348073151",38.95102808
cluster 11,1001,property,-77.0809261,2020-05-20T13:30:13.000,theft f/auto,day,142370,2,3,2020,property|theft f/auto,,2D1,202,7,001001 2,precinct 31,392985,4100 - 4119 block of river road nw,2020-05-20T13:20:50.000,20075244,theft f/auto,20075244-01,3E,2020-05-21T10:54:39.000,others,"38.9491997301685,-77.0809260985878",38.94919973
cluster 11,1100,property,-77.0795769,,theft f/auto,day,142423,2,3,2020,property|theft f/auto,,2D1,202,7,001100 4,precinct 32,393102,4000 - 4099 block of brandywine street nw,2020-06-05T12:01:51.000,20083374,theft f/auto,20083374-01,3E,2020-06-05T12:28:01.000,others,"38.949678095118,-77.0795769025976",38.9496781
cluster 11,1001,property,-77.08204516,2020-03-11T10:30:22.000,theft f/auto,day,142375,2,3,2020,property|theft f/auto,,2D1,202,7,001001 2,precinct 31,392888,4540 - 4599 block of 42nd street nw,2020-03-11T09:30:34.000,20043292,theft f/auto,20043292-01,3E,2020-03-11T10:55:46.000,others,"38.9492439915584,-77.0820451564673",38.94924399
cluster 11,1200,property,-77.0785691,2020-05-05T11:00:58.000,motor vehicle theft,day,142005,2,3,2020,property|motor vehicle theft,,2D1,202,8,001200 4,precinct 33,393189,4336 - 4347 block of wisconsin avenue nw,2020-05-05T10:00:27.000,20068220,motor vehicle theft,20068220-01,3E,2020-05-06T10:45:47.000,others,"38.9459133150869,-77.0785691009731",38.94591332
cluster 11,1100,property,-77.07994458,,theft/other,evening,142276,2,3,2020,property|theft/other,,2D1,202,6,001100 4,precinct 32,393070,4500 - 4537 block of wisconsin avenue nw,2020-06-09T21:21:11.000,20085743,theft/other,20085743-01,3E,2020-06-09T21:53:10.000,others,"38.9483536271761,-77.0799445766197",38.94835363
